"TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"14_SAT_LIFE_0","0","THV","valori in migliaia","9","totale","Y18-19","18-19 anni","2022","2022",8,,
"14_SAT_LIFE_1","1","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2022","2022",52,,
"14_SAT_LIFE_1","1","THV","valori in migliaia","9","totale","Y18-19","18-19 anni","2022","2022",8,,
"14_SAT_LIFE_1","1","THV","valori in migliaia","9","totale","Y_GE14","14 anni e più","2022","2022",182,,
"14_SAT_LIFE_1","1","THV","valori in migliaia","9","totale","Y45-54","45-54 anni","2022","2022",20,,
"14_SAT_LIFE_2","2","THV","valori in migliaia","9","totale","Y45-54","45-54 anni","2022","2022",40,,
"14_SAT_LIFE_1","1","THV","valori in migliaia","9","totale","Y65-74","65-74 anni","2022","2022",15,,
"14_SAT_LIFE_0","0","THV","valori in migliaia","9","totale","Y65-74","65-74 anni","2022","2022",50,,
"14_SAT_LIFE_1","1","THV","valori in migliaia","9","totale","Y60-64","60-64 anni","2022","2022",8,,
"14_SAT_LIFE_0","0","THV","valori in migliaia","9","totale","Y14-17","14-17 anni","2022","2022",14,,
"14_SAT_LIFE_2","2","THV","valori in migliaia","9","totale","Y55-59","55-59 anni","2022","2022",14,,
"14_SAT_LIFE_2","2","THV","valori in migliaia","9","totale","Y65-74","65-74 anni","2022","2022",28,,
"14_SAT_LIFE_2","2","THV","valori in migliaia","9","totale","Y25-34","25-34 anni","2022","2022",19,,
"14_SAT_LIFE_2","2","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2022","2022",20,,
"14_SAT_LIFE_4","4","THV","valori in migliaia","9","totale","Y_GE14","14 anni e più","2022","2022",1020,,
"14_SAT_LIFE_4","4","THV","valori in migliaia","9","totale","Y45-54","45-54 anni","2022","2022",175,,
